lead,Pdur_our,Pdur_T6,Pdur_dT6,QRSdur_our,QRSdur_T6,QRSdur_dT6,Tdur_our,Tdur_T6,Tdur_dT6,PQint_our,PQint_T6,PQint_dT6,QTint_our,QTint_T6,QTint_dT6,RRint_our,RRint_T6,RRint_dT6
I,116.6,124.06,-7.4,131.0,131.31,-0.3,170.9,178.12,-7.2,119.1,128.07,-8.9,378.6,310.54,68.0,758.9,758.15,0.8
II,124.8,128.09,-3.3,125.9,126.1,-0.2,181.6,182.33,-0.8,123.8,127.18,-3.3,386.0,317.08,69.0,758.8,758.02,0.7
III,156.5,164.52,-8.0,126.5,126.8,-0.3,181.9,183.16,-1.2,160.5,171.88,-11.4,378.8,306.94,71.9,758.7,757.99,0.7
aVR,117.9,127.42,-9.5,128.5,128.81,-0.3,177.9,179.38,-1.4,116.4,126.19,-9.8,387.4,318.73,68.7,758.8,757.97,0.8
aVL,137.6,154.5,-16.9,128.4,128.62,-0.2,179.8,182.76,-3.0,144.9,169.37,-24.5,373.2,299.19,74.1,758.9,758.08,0.8
aVF,135.8,141.0,-5.2,124.8,125.02,-0.2,183.0,184.05,-1.1,137.3,142.6,-5.3,381.1,310.43,70.7,758.8,758.06,0.7
V1,135.5,140.78,-5.3,128.9,129.05,-0.1,177.3,180.72,-3.4,154.3,160.57,-6.3,374.0,303.89,70.1,758.9,758.06,0.8
V2,153.2,155.93,-2.8,135.9,136.12,-0.2,175.4,176.15,-0.8,177.6,181.65,-4.0,360.4,287.71,72.6,758.6,757.9,0.7
V3,149.9,154.23,-4.3,132.4,132.8,-0.4,178.9,179.01,-0.1,169.7,174.2,-4.5,358.8,285.5,73.4,758.7,758.01,0.7
V4,137.3,140.6,-3.3,127.0,127.32,-0.3,179.1,180.05,-0.9,144.0,148.55,-4.6,363.3,290.09,73.2,758.7,758.03,0.7
V5,124.9,128.69,-3.8,123.7,123.89,-0.2,176.3,177.39,-1.1,122.5,126.73,-4.2,379.5,310.74,68.7,758.9,758.12,0.8
V6,119.8,123.44,-3.6,126.2,126.55,-0.4,174.2,174.63,-0.4,114.8,118.63,-3.8,386.7,320.51,66.2,758.8,758.06,0.8
